id,host_id,price,number_of_reviews,last_review
16338,63613,55,27,2017-09-30
16421,63924,52,191,2019-05-16
16458,64056,225,4,2017-09-24
16580,64442,80,338,2019-07-01
16595,64522,275,148,2019-06-23
16821,4396,99,106,2019-06-21
16974,65837,225,190,2019-06-23
17037,66035,230,49,2018-05-14
17092,66243,51,23,2019-06-01
17693,68428,65,49,2019-06-18
17747,68599,105,105,2019-06-26
18127,69829,190,21,2019-01-02
18152,69942,200,142,2019-07-06
18198,70091,70,25,2019-05-31
18590,71512,95,143,2019-06-16
18728,71876,150,167,2019-05-28
18764,72014,145,61,2019-04-22
19159,73051,110,54,2019-03-23
19169,73128,285,70,2019-06-30
19282,73469,130,16,2019-06-15
19319,44263,94,94,2019-04-08
19601,74303,800,25,2016-08-04
19812,74857,105,61,2018-08-09
20299,62407,60,194,2019-06-30
20300,76627,50,2,2016-02-14
20611,72014,85,174,2019-06-22
20724,961342,65,24,2019-05-26
20734,78460,131,166,2019-06-27
20755,51038,98,16,2019-05-31
20853,79070,250,21,2019-05-21
20913,79402,100,168,2018-07-22
21293,44145,105,118,2019-06-18
21456,42032,140,81,2019-07-07
21644,82685,89,1,2018-10-09
21794,83257,98,30,2019-05-01
22911,87773,125,139,2018-10-28
22918,32294,60,11,2019-01-03
23135,11481,175,233,2019-06-24
23501,63318,65,68,2012-11-01
23686,93790,500,46,2019-05-18
24143,97219,101,335,2019-05-29
24285,97797,220,88,2018-11-02
25235,87773,125,162,2019-06-28
25406,105538,80,29,2018-05-26
25696,107628,100,170,2019-06-23
26012,109589,200,19,2017-03-17
26362,59734,59,334,2019-06-16
26520,51038,125,19,2019-06-02
26559,112793,140,12,2017-12-11
26785,42273,120,467,2018-12-30
26933,72062,350,7,2017-08-09
26954,115157,199,38,2015-12-02
26969,115307,325,324,2019-06-23
27006,115560,235,27,2019-04-27
27385,72062,225,115,2019-06-07
27531,118971,99,354,2019-05-20
27644,119510,170,195,2019-07-01
27659,119588,400,16,2018-12-30
27759,119900,170,13,2019-06-26
27883,120223,100,25,2011-12-10
28321,65091,75,9,2018-10-05
28396,6197784,90,9,2011-09-18
28907,124352,150,21,2017-08-15
29012,124797,85,36,2017-08-17
29013,35935,70,63,2019-05-14
29455,126607,120,155,2019-06-20
29628,127608,89,260,2019-07-03
29683,125857,185,73,2019-06-25
30031,129352,50,193,2019-05-20
30927,120335,105,32,2019-06-14
31130,117287,130,50,2019-05-26
31555,135619,115,26,2019-07-01
31902,137292,77,2,2019-01-01
31994,137814,76,426,2019-06-24
32023,137974,125,227,2019-06-23
32037,116599,135,84,2019-07-01
32100,138579,250,3,2017-07-30
32289,139612,199,10,2018-06-11
32331,139874,140,4,2016-04-24
32363,140025,140,1,2011-09-19
32965,137974,115,124,2019-06-20
32969,142833,160,11,2019-07-02
33009,143027,195,240,2019-06-17
33014,143048,195,30,2019-06-17
33223,72014,80,200,2019-06-22
34760,149929,44,27,2019-06-29
35526,120291,156,79,2019-06-22
36121,62165,85,9,2013-05-10
36133,142684,125,155,2019-06-13
36442,137432,115,4,2018-08-27
36647,157798,69,34,2017-05-29
36703,158284,225,134,2019-03-31
36934,159370,125,27,2018-12-27
38638,92788,219,126,2019-06-26
38663,165789,475,23,2018-12-31
39267,168417,99,234,2019-06-08
39282,168525,69,202,2019-05-28
39593,110506,79,28,2019-04-12
39704,170510,135,309,2019-06-22
40039,171851,250,14,2011-04-25
40453,174025,250,4,2016-09-23
41348,180083,250,80,2019-07-06
41513,181167,80,2,2015-11-02
42580,137814,70,294,2019-06-24
42729,11481,165,150,2019-06-18
42882,185978,70,166,2019-06-13
43957,177536,50,47,2019-06-19
44096,190409,40,219,2019-07-04
44161,193360,150,193,2016-07-06
44212,72062,125,84,2019-06-23
44221,193722,196,114,2019-06-20
44229,181376,110,213,2019-06-24
44288,193637,170,86,2019-06-01
44506,126607,165,80,2019-05-26
45393,201297,150,38,2016-04-20
45542,202249,100,18,2018-12-17
45556,67778,65,206,2019-06-30
45910,204539,350,10,2019-05-12
45936,867225,99,122,2019-05-14
45940,204724,200,33,2019-04-08
46544,8198,150,52,2019-06-05
46723,209460,90,126,2019-05-19
46911,210746,120,51,2019-06-24
47199,212722,75,199,2019-06-24
47362,214148,175,30,2012-09-03
47370,214287,125,3,2015-07-17
47926,218404,275,41,2019-06-26
48719,221873,299,109,2019-06-15
50447,9744,135,151,2019-06-22
51438,236421,130,0,
51485,236655,83,285,2019-06-22
51572,237329,123,375,2019-06-18
51850,27848,55,52,2019-05-20
53137,240360,195,10,2019-07-01
53196,247432,80,11,2017-11-13
53469,204539,98,33,2015-05-09
53470,204539,140,6,2015-10-08
53477,204539,265,38,2019-04-27
54158,10889,249,358,2019-06-20
54453,255583,105,10,2014-01-07
54466,253385,200,0,
54508,210746,100,226,2019-06-06
54544,256161,121,104,2019-06-22
54626,190409,45,138,2019-06-30
54860,258164,100,204,2019-06-23
55467,260709,140,253,2019-07-02
55498,262138,71,23,2019-07-01
55668,88209,130,115,2018-12-05
55737,263414,199,129,2019-05-19
55959,168525,69,82,2019-06-10
55982,264928,68,37,2018-12-31
56467,267593,130,204,2019-07-01
56525,268014,195,69,2019-06-13
56859,256161,64,192,2019-06-03
57166,272006,140,17,2019-06-17
57297,199392,159,222,2019-06-24
57468,239208,189,205,2019-06-23
57618,274557,250,94,2019-06-09
57740,275459,239,7,2019-05-24
57754,275578,305,108,2019-06-30
57874,276291,155,222,2019-06-26
58059,277379,60,458,2019-07-03
58062,277394,135,21,2019-05-17
58467,279797,120,17,2019-05-08
59014,282927,150,41,2019-01-02
59121,204539,140,1,2012-09-17
59642,274782,135,69,2019-05-19
59709,186084,250,18,2019-07-01
59855,288031,250,82,2016-01-05
60164,289653,500,94,2019-06-23
60457,99212,225,10,2019-05-11
60611,292204,125,183,2018-09-29
60666,256161,92,189,2019-06-11
60673,249372,175,1,2018-10-07
60680,292630,99,127,2019-06-20
60794,293394,195,4,2017-08-25
60948,126607,140,135,2019-06-20
61167,295760,135,21,2015-12-12
61224,291112,500,35,2017-07-27
61406,297176,80,10,2019-06-01
61492,297769,120,171,2019-06-23
61509,23619,110,92,2019-04-30
62095,281764,65,238,2019-06-14
62427,303882,130,56,2019-05-26
62430,197755,99,111,2019-06-22
62452,303939,36,193,2019-06-25
62461,303939,37,147,2019-06-10
62787,303939,37,177,2019-07-02
62891,306545,175,185,2019-05-24
62903,306605,205,62,2019-06-21
62925,306739,285,124,2019-06-16
63299,308875,59,181,2019-06-23
63320,303939,36,333,2019-07-02
63360,307962,99,441,2019-06-24
63546,308652,39,45,2019-05-16
63573,310458,60,9,2016-08-29
63588,295128,90,0,
63610,310670,105,38,2019-06-27
63657,170510,135,248,2019-06-25
63693,306545,390,143,2019-06-19
63719,311286,70,36,2018-08-19
63913,312288,75,0,
64000,312722,60,14,2019-01-07
64015,146944,200,0,
64107,313317,100,279,2019-06-24
64277,311286,70,18,2019-01-02
64314,314256,110,50,2019-05-26
64365,314582,60,227,2019-06-27
64707,7310,90,1,2019-01-02
64837,46978,68,203,2019-06-23
65019,317809,115,210,2019-07-06
65268,319092,75,64,2019-01-05
65556,320422,60,0,
65562,320450,129,5,2019-01-03
65615,320761,130,49,2019-06-29
65660,320538,95,132,2019-07-07
65813,321756,75,20,2019-01-02
65834,321934,175,11,2013-05-02
66008,322884,190,51,2019-07-01
66026,322716,49,15,2019-06-30
66251,324460,212,67,2019-06-25
66275,314941,95,109,2019-06-23
66451,325389,140,9,2019-02-16
66718,136227,135,187,2019-06-23
66741,327673,150,214,2019-06-23
66974,329436,190,69,2019-07-01
67288,101597,124,22,2019-06-15
67299,330347,135,56,2019-05-06
67397,332189,122,93,2019-06-22
68099,323517,109,104,2019-06-25
68305,338454,85,64,2018-07-06
68403,240427,145,127,2019-06-24
68735,342054,195,30,2019-06-13
68765,282655,250,106,2019-06-27
68900,343250,125,6,2016-11-13
68974,281229,575,191,2019-06-20
69894,352168,150,48,2019-06-11
69921,155689,70,47,2019-06-29
70095,353965,90,120,2019-06-30
70128,354330,65,52,2019-01-10
70609,72062,500,48,2019-06-16
71010,361855,250,32,2019-05-24
71248,363834,125,43,2019-06-17
71366,364955,200,39,2019-06-25
71384,365153,229,50,2014-05-13
71812,369015,90,4,2019-01-02
72190,373085,110,38,2019-02-15
72265,340692,59,29,2019-06-16
74073,211877,195,59,2019-06-23
74240,389924,169,68,2019-06-07
74333,331328,113,26,2015-11-25
74404,391325,250,31,2012-08-22
74680,265109,115,198,2019-05-31
74860,394752,55,1,2011-03-28
75193,308875,69,220,2019-06-22
75635,401696,150,286,2019-06-27
76761,118971,169,398,2019-06-28
77765,417504,179,36,2019-07-01
77936,134355,150,36,2019-06-14
78919,422561,135,6,2016-02-05
79067,425506,350,14,2019-04-20
79782,430188,120,76,2019-03-31
80493,434987,71,182,2019-07-04
80684,417504,349,8,2016-03-27
80700,417504,349,7,2019-05-24
80924,438133,165,34,2018-09-25
81739,417504,249,2,2011-05-12
82549,448312,100,66,2016-09-16
82550,448312,200,80,2019-06-30
82638,449787,169,240,2019-06-06
82928,451545,185,46,2019-07-02
83243,453519,65,228,2019-06-10
83446,454756,130,5,2018-09-03
83722,456638,199,8,2018-08-26
83847,410094,225,33,2019-01-02
84010,417504,179,13,2019-06-27
84059,459054,150,5,2018-07-22
84659,462776,139,388,2019-06-26
84905,464506,95,223,2019-06-23
85094,322716,79,11,2019-01-14
86215,327900,150,151,2019-06-24
89427,116599,650,0,
89621,209460,90,218,2019-06-28
93313,25183,120,75,2019-06-23
94035,35375,80,42,2019-07-06
94209,503800,100,0,
94477,478395,175,370,2019-07-05
94783,473113,120,104,2019-06-21
95747,509341,140,13,2016-07-18
95883,509918,200,4,2018-12-26
96471,116599,165,11,2019-06-07
98330,31374,125,1,2012-01-03
98663,520279,130,19,2018-06-11
99070,522065,65,131,2019-05-26
99085,522164,123,15,2019-05-01
100002,523218,67,136,2019-06-17
100184,526653,50,43,2019-07-08
100186,526805,130,98,2019-06-28
101053,530032,100,31,2019-03-01
102995,178043,212,45,2018-01-01
103161,465278,190,124,2019-06-26
103311,417504,599,9,2018-05-19
103806,251176,249,166,2019-05-27
105469,547386,70,13,2015-09-21
105510,322716,100,15,2019-01-05
106363,551055,60,380,2019-06-26
106647,552679,135,86,2019-06-16
107630,306739,175,248,2019-06-20
107895,3088389,120,49,2019-06-19
110739,568568,169,54,2019-07-03
112100,572527,165,3,2013-01-01
112304,573316,90,1,2016-01-02
112359,571952,225,56,2018-12-28
112435,181376,95,163,2019-05-24
113265,314582,55,247,2019-06-21
113945,275582,85,116,2019-05-11
114123,579495,199,27,2019-05-19
114229,314941,211,52,2019-06-08
114969,582598,145,39,2018-09-24
115535,567187,65,35,2019-06-01
115678,127772,99,320,2019-06-23
115748,585166,110,30,2019-06-16
116940,209460,80,225,2019-06-24
117425,593115,150,95,2018-05-26
118061,2248897,110,70,2019-06-28
118430,585458,290,35,2019-01-03
118680,599354,87,0,
120362,138069,190,50,2019-07-02
121687,262812,200,29,2019-06-23
121861,611716,165,23,2016-05-02
123784,617990,110,142,2019-06-16
125053,622460,395,70,2019-07-01
125163,622855,99,38,2019-06-03
125594,308652,39,82,2019-05-19
126443,627217,189,403,2019-07-07
126816,620288,85,3,2014-11-06
127387,23276,260,3,2014-08-04
128975,256161,122,116,2019-06-13
131154,275563,165,175,2019-07-07
132516,85330,97,28,2019-07-01
132570,651390,170,24,2017-12-26
132695,507186,125,15,2016-06-06
133025,653405,130,105,2019-06-06
134934,652842,225,22,2019-05-30
135393,663764,50,263,2019-06-24
135465,663879,170,86,2019-06-20
135706,665013,132,10,2017-01-01
136493,663384,250,18,2019-05-27
138216,674970,141,8,2018-07-08
139624,680818,64,70,2019-01-31
140133,622866,249,150,2019-07-05
140425,683975,79,115,2017-05-25
140973,686147,185,69,2019-05-26
141154,686768,120,232,2019-06-22
141335,687361,495,35,2018-01-13
141890,689661,375,18,2013-10-01
141984,630453,175,68,2019-06-10
142069,277747,150,22,2014-11-10
144087,616825,259,17,2019-05-18
144148,299755,96,34,2016-01-05
145064,404424,145,8,2014-06-06
145188,703156,200,0,
145994,706418,95,2,2018-07-06
146754,709434,250,52,2019-04-27
147586,709334,295,74,2019-06-16
148201,715807,175,18,2013-05-31
148259,716064,451,72,2019-05-11
148825,718349,165,191,2019-06-29
149287,720320,250,0,
149777,716306,77,197,2019-06-23
150804,726333,250,19,2019-07-06
151199,722320,129,414,2019-07-03
151478,216191,98,8,2018-12-11
152071,731855,150,0,
152078,731904,95,25,2019-02-12
152259,256161,55,119,2019-05-28
152263,732535,300,203,2019-07-06
152520,733894,42,53,2018-11-16
153405,737585,125,104,2019-06-16
153780,739499,175,175,2019-06-28
154934,745069,75,38,2018-05-08
155296,656841,255,39,2019-05-02
157673,757166,72,88,2019-06-16
158061,758441,165,27,2017-10-08
158176,573065,165,117,2019-06-29
158290,759583,75,43,2019-05-20
158913,762563,130,4,2015-03-13
158955,465589,139,385,2019-06-29
159749,54275,88,64,2019-07-01
159815,54275,80,39,2019-06-24
159913,759883,150,37,2019-07-03
160609,769247,200,10,2019-01-01
160994,770831,200,103,2019-06-24
161366,733894,42,41,2019-06-01
161394,772300,90,3,2014-08-31
161996,1856604,295,227,2019-06-26
162493,776490,450,37,2018-12-27
162508,776645,130,29,2019-06-28
163627,242506,89,205,2017-12-31
163809,781647,198,42,2019-06-03
163814,627217,99,280,2019-07-05
163836,32169,46,86,2019-06-08
164989,69439,140,54,2019-06-16
165080,787273,500,7,2018-08-29
165461,867225,75,57,2019-01-01
165824,733894,33,31,2019-05-01
166006,791287,250,188,2018-08-23
166172,792159,60,480,2019-07-07
166541,793620,75,34,2019-06-15
166983,795640,350,6,2015-08-08
167013,306605,205,3,2018-05-13
167017,795889,219,2,2014-08-31
167222,22486,60,20,2018-08-24
167482,789257,185,129,2019-06-07
168084,800982,190,147,2019-06-30
168123,720558,105,101,2019-07-01
168546,803086,250,11,2016-01-02
168810,747698,175,11,2013-10-15
169002,805344,65,41,2019-06-16
169152,806112,75,87,2017-04-18
169306,806214,37,117,2019-05-21
169464,806774,85,86,2019-05-16
169483,807642,106,0,
170420,812814,79,15,2016-02-15
170761,67778,85,35,2019-07-02
171776,803086,170,17,2015-10-01
172700,302772,115,3,2016-02-15
172870,781647,89,43,2018-01-03
173072,826192,49,168,2019-07-06
173151,826459,91,241,2019-06-24
173742,829652,400,105,2019-06-23
174527,833926,150,11,2018-10-28
174966,836168,2000,30,2018-05-05
176135,842125,97,31,2018-10-23
176653,844862,100,49,2019-05-07
176962,846309,179,23,2019-04-13
177421,848748,500,20,2019-06-24
177495,848960,429,18,2019-06-24
177606,849492,189,90,2019-06-23
179670,21475,120,99,2019-06-27
179741,314941,300,6,2019-06-28
180507,864735,107,21,2018-12-01
180792,864735,95,24,2019-04-04
181972,872121,199,111,2019-06-02
182069,39260,120,86,2019-06-20
182095,872805,199,66,2019-04-29
182177,873273,125,271,2019-06-20
182649,876054,70,227,2019-06-18
185266,889106,75,80,2019-07-06
187488,871727,100,5,2018-12-03
187566,279078,99,187,2019-06-10
187986,904833,250,2,2015-08-28
188146,906200,350,1,2016-01-01
188661,909146,170,67,2018-10-20
188674,909234,165,63,2018-01-12
189135,179020,99,89,2019-07-01
189181,912541,255,1,2014-04-20
189732,489400,169,177,2019-06-29
189787,915640,99,90,2019-06-30
190267,918866,169,39,2019-07-07
190542,920542,160,42,2019-05-18
190968,922922,215,33,2019-05-08
190974,874471,130,179,2019-05-29
191075,923915,110,81,2019-03-28
193105,936114,150,43,2019-06-29
193333,302936,65,52,2018-10-31
193393,938056,75,160,2019-06-25
193853,48599,149,23,2018-05-21
194154,936830,89,35,2017-06-18
195123,940724,50,225,2019-06-12
195233,949221,43,401,2019-07-04
195240,949221,42,72,2019-06-17
195578,304493,85,46,2018-12-30
195971,953279,139,83,2019-06-23
195989,611716,105,211,2019-06-15
196010,953565,265,15,2015-06-14
197155,960836,149,122,2019-06-23
197753,964482,68,295,2019-06-12
197942,289135,99,207,2019-07-07
199195,971075,75,50,2019-03-30
199312,973438,100,273,2019-06-24
200645,933378,90,0,
200955,568325,160,25,2018-04-30
201992,988350,190,105,2019-05-11
202273,918087,67,72,2016-12-26
203901,1000477,190,8,2016-09-18
204065,51038,248,58,2019-06-04
204833,903686,100,8,2015-09-17
204959,464506,95,172,2019-07-02
205043,1007558,150,330,2019-06-20
205485,1010242,145,123,2019-06-11
205735,1011426,41,55,2019-04-30
205867,1012691,120,87,2019-07-03
206071,12221,50,258,2019-06-25
206316,1014639,157,4,2018-08-27
206772,1017473,195,31,2019-05-26
206957,1018472,70,128,2016-11-15
208148,1024355,185,14,2015-08-31
208889,1029021,145,30,2019-06-24
209310,1031148,50,258,2019-05-28
211078,306739,185,228,2018-04-25
211974,272730,250,60,2019-07-01
212109,666271,80,9,2019-06-30
212178,1094178,230,179,2019-06-19
212544,1096084,100,9,2016-06-23
213272,293130,40,1,2019-04-21
213330,800223,200,25,2018-08-29
214917,1109658,80,2,2018-02-08
215560,1112560,79,152,2019-06-25
215784,864735,95,24,2019-03-31
215907,1114587,300,45,2019-04-22
217580,1121193,100,7,2018-11-14
218358,1129218,80,19,2019-06-03
219066,447754,110,24,2019-01-19
219482,759583,172,8,2017-10-14
219793,1138692,199,29,2015-06-03
219818,1138692,199,14,2015-07-20
219922,1139574,100,33,2019-05-25
220351,921500,55,99,2019-02-28
220563,918087,75,59,2017-01-05
220946,1144415,146,142,2019-06-16
221043,846050,250,0,
221097,1146744,116,22,2019-03-15
221618,4887492,150,82,2019-05-21
222054,22486,120,23,2018-09-15
222304,1153993,199,32,2019-05-08
223930,1164642,150,24,2019-06-23
224004,1165231,69,59,2018-10-26
224006,1165231,300,6,2015-01-02
224510,991380,230,18,2018-07-05
225297,1173599,125,3,2018-12-26
225306,1112560,79,115,2019-07-05
225887,663879,130,154,2019-06-19
225926,1177497,239,164,2019-07-01
225976,1177947,75,76,2019-06-13
226021,815977,220,116,2019-06-30
227715,209460,80,234,2019-06-30
227735,1187935,288,120,2019-06-24
228317,1191142,135,82,2019-05-18
228496,1192424,225,13,2019-05-26
228517,1192610,110,59,2019-06-24
228925,1194377,100,63,2019-06-26
228979,1190088,130,52,2018-08-14
229367,1097545,89,278,2019-07-03
229874,507304,200,1,2012-01-02
230321,1203500,80,35,2019-06-09
230854,12221,50,235,2019-06-29
230877,292204,135,115,2019-06-30
230956,1207399,90,109,2015-10-02
231414,1184442,270,1,2013-07-09
232612,1217241,110,305,2019-06-27
232618,763420,145,102,2019-06-18
233189,1220414,179,83,2019-05-31
233638,1012895,55,19,2018-07-31
233662,1223568,110,61,2019-05-18
234184,902054,325,89,2019-06-30
234870,1229984,75,65,2017-07-31
235552,1234405,300,40,2019-06-16
235651,83257,130,80,2019-04-26
235951,1236070,190,136,2019-06-19
235960,1236817,200,100,2018-05-28
236671,1240820,180,125,2019-07-06
236788,4166168,350,40,2019-04-14
236806,1151987,160,0,
237127,1146958,195,139,2019-04-28
237210,1243192,241,0,
239055,65064,300,2,2014-10-06
239733,1256874,75,49,2019-06-26
239766,1257309,100,8,2018-05-18
239826,1257760,399,0,
239883,136962,85,124,2019-05-25
239899,1258363,80,5,2018-12-19
240800,1263176,55,147,2019-06-30
241140,1177497,438,43,2019-04-14
241159,1264655,110,8,2019-01-03
241862,1269455,200,37,2019-01-02
242532,1177497,279,120,2019-06-19
242643,1273825,137,24,2019-01-01
243229,1276497,280,5,2017-07-09
243708,288711,199,242,2019-04-01
245504,714200,71,229,2019-06-21
245544,1260921,42,108,2019-06-19
245574,1288460,180,181,2019-06-05
245607,825022,226,34,2019-07-01
246134,283604,85,5,2016-10-02
246351,1292250,135,5,2015-08-17
246916,3647,79,60,2019-06-25
246938,936630,154,238,2019-06-23
248865,417504,199,34,2019-04-22
248871,605463,700,131,2019-06-24
249414,1306587,246,6,2017-06-28
249618,1307773,125,4,2015-07-03
249867,758441,100,7,2018-10-07
250259,1311398,295,125,2019-07-07
250311,945499,150,0,
250323,1311870,119,49,2014-12-03
250536,1313306,125,11,2017-09-25
250537,1313306,400,0,
250801,1314834,850,107,2019-05-23
251262,1278802,129,241,2019-06-29
251277,1317343,140,176,2019-06-29
252076,297769,115,151,2019-06-16
252607,1325961,200,49,2018-08-09
253332,552343,96,13,2018-09-01
253466,417504,199,33,2019-06-24
253471,417504,199,24,2018-11-06
253475,417504,199,59,2019-06-24
253548,1331493,69,2,2015-06-25
253590,1331850,185,16,2019-06-28
253623,1332108,81,72,2018-11-26
253800,417504,199,24,2019-04-25
253803,417504,199,23,2019-06-22
253806,417504,199,43,2019-07-02
253811,417504,199,30,2019-07-03
253815,417504,199,39,2019-06-29
253828,417504,349,8,2018-07-26
253839,417504,249,3,2015-11-03
253842,417504,299,6,2018-04-19
253846,417504,179,4,2015-12-04
254131,1267021,54,56,2019-07-06
254168,417504,599,7,2018-11-16
254409,1336542,110,2,2014-01-13
255024,1340007,220,178,2019-06-24
255476,1302029,89,30,2019-05-31
255601,1343630,170,190,2019-06-23
255957,506779,495,25,2019-06-30
256078,1346437,80,81,2019-05-31
256328,1347034,760,7,2019-06-22
256369,1348494,98,216,2019-07-01
257097,315401,125,31,2019-01-28
257568,1123923,48,53,2017-08-12
257787,1356046,64,247,2019-06-21
258284,1358312,154,233,2019-04-10
258397,1354758,139,135,2019-06-24
258686,1233267,75,20,2015-12-30
258688,436599,325,46,2019-06-02
258690,1359611,195,10,2014-10-26
258740,1360043,58,143,2018-06-30
258838,1360198,250,21,2019-05-22
258876,1360198,50,0,
259946,1360198,125,8,2019-05-19
260451,52335,70,4,2017-08-28
260765,480943,189,314,2019-07-01
261194,696482,130,18,2019-06-18
261259,1370358,145,11,2015-05-27
261344,568103,101,51,2019-06-02
261674,1372786,95,20,2017-04-01
261781,1359519,375,8,2017-12-30
262343,1376385,153,59,2019-06-06
262405,1376778,92,54,2019-06-24
262478,535128,80,10,2018-12-31
262583,605463,300,153,2019-06-25
263005,1380060,145,110,2019-06-02
263190,1020539,88,69,2019-01-01
263232,1381171,155,1,2019-01-27
263502,1382749,185,24,2015-08-19
263776,1384111,73,95,2019-01-02
263888,1384559,225,129,2019-04-28
264323,305972,85,171,2019-03-31
265036,21188,99,20,2019-06-09
265064,1123923,48,17,2017-05-03
265145,1390947,200,8,2015-01-08
265506,1392440,485,11,2015-11-01
265831,1394190,310,5,2018-07-05
265912,1394719,110,0,
266146,1385157,109,36,2019-03-19
266155,1385157,167,16,2019-03-31
266351,1396546,147,5,2018-07-12
266437,1397061,220,0,
266449,1397115,195,68,2019-06-03
266756,1398809,199,89,2018-06-30
267376,638721,65,10,2019-06-24
267435,1402454,55,38,2019-07-01
267535,1402951,50,15,2019-06-09
267652,164675,60,20,2019-01-21
267708,661399,99,25,2019-06-15
268392,1406773,130,35,2019-05-27
268481,1380703,290,1,2013-09-24
268868,1408733,350,64,2019-06-02
269283,1410714,50,26,2019-02-16
269889,1413098,96,244,2019-06-25
270139,1093220,45,21,2019-01-15
270231,1366310,85,270,2019-07-07
270315,1398639,34,16,2019-03-27
270345,1415590,250,24,2019-06-27
270680,1315849,190,30,2019-06-28
270681,1315849,75,5,2015-09-07
271083,1217923,93,115,2019-06-12
271128,1417166,60,9,2019-06-25
271130,1417166,65,45,2019-05-26
271694,1387370,125,19,2015-09-08
271950,1362808,300,5,2018-12-31
271954,1423798,150,203,2019-06-20
272026,1423613,56,20,2018-01-02
272044,1195295,299,49,2018-10-27
272427,511993,60,6,2019-04-21
272706,1402817,88,7,2017-06-18
272738,1427381,60,35,2019-06-30
273190,605463,1300,28,2018-09-25
273256,1429642,200,0,
274062,1433395,99,54,2019-06-24
274329,1434654,110,115,2019-06-25
274376,1434931,135,6,2019-06-24
274743,1436404,110,1,2014-08-31
275976,1417757,165,204,2019-06-30
276216,1440691,127,1,2016-09-01
276317,130901,402,89,2019-06-23
276482,305972,85,130,2019-06-02
277207,1447684,75,15,2019-06-08
277370,1448432,139,52,2019-05-13
277883,950657,70,58,2017-12-29
278090,1451723,50,208,2019-06-11
278145,1452026,30,3,2017-06-20
278631,1132207,250,7,2013-04-21
278876,368528,64,1,2017-03-18
279093,1455825,300,2,2018-04-10
279857,1420300,800,122,2019-07-02
279969,240427,100,63,2019-06-18
280315,1151818,250,26,2014-10-31
281521,70614,200,1,2012-10-02
281756,1468658,140,14,2019-06-19
281851,1469036,130,107,2019-06-25
282341,1471384,90,3,2017-07-30
282443,36897,90,107,2019-05-18
282514,1464358,97,29,2019-06-25
282863,322934,91,69,2019-06-21
282977,1474071,125,232,2019-07-06
283072,1474637,75,0,
283090,511175,180,24,2018-08-10
283184,1427381,300,0,
283272,524730,100,5,2016-08-03
283550,1476954,175,10,2019-04-21
284208,1366270,65,36,2018-11-12
284855,1482460,240,94,2019-06-19
285442,1475866,300,1,2013-05-06
285492,1486034,385,63,2018-08-03
285716,1487126,47,5,2013-09-11
286662,1491538,110,238,2019-07-02
286838,1492339,75,101,2015-10-31
287397,1029021,100,21,2019-06-24
287408,1495090,165,72,2018-07-31
287417,1495196,300,40,2019-06-23
287421,1495141,140,103,2017-08-01
287481,1495502,120,66,2019-05-01
287839,1498424,175,35,2019-06-27
287845,1496847,275,121,2019-07-01
289020,347036,179,15,2018-08-29
289037,632334,189,13,2016-09-05
289288,1502469,219,129,2019-05-11
289665,1503831,450,157,2016-08-11
289703,815741,249,8,2016-11-26
289958,1454655,65,5,2014-09-09
289995,1505217,250,46,2019-06-23
290457,207124,139,37,2019-02-16
291524,1470688,209,14,2019-06-25
291714,1321504,120,37,2018-04-15
